ts,Date Time,Date,gyY,gyz,gyx,acx,acz,acy,Time,cid,type
1665813182424,"10/15/2022, 11:15:56",10/15/2022,-9333,-1959,-1712,-10896,13408,896,11:15:56,CHL031,0
1665813184707,"10/15/2022, 11:15:56",10/15/2022,-13188,-460,-1696,-11008,11888,3364,11:15:56,CHL031,0
1665813186812,"10/15/2022, 11:15:56",10/15/2022,-6818,5028,-1728,-8560,12460,3328,11:15:56,CHL031,0
1665813188791,"10/15/2022, 11:15:56",10/15/2022,14844,-422,-1728,-9104,12736,528,11:15:56,CHL031,0
1665813190932,"10/15/2022, 11:15:56",10/15/2022,-9305,-2836,-1728,-9436,14236,3132,11:15:56,CHL031,0
1665813192891,"10/15/2022, 11:15:56",10/15/2022,8217,-4870,-1696,-8480,12336,1220,11:15:56,CHL031,0
1665813195134,"10/15/2022, 11:15:56",10/15/2022,-11918,786,-1728,-8212,13120,1524,11:15:56,CHL031,0
1665813197181,"10/15/2022, 11:15:56",10/15/2022,13710,-2181,-1696,-9752,11556,4828,11:15:56,CHL031,0
1665813199211,"10/15/2022, 11:15:56",10/15/2022,12273,-4401,-1696,-8088,12812,4860,11:15:56,CHL031,0
1665813201391,"10/15/2022, 11:15:56",10/15/2022,650,-7886,-1696,-10944,9680,696,11:15:56,CHL031,0
1665813203587,"10/15/2022, 11:15:56",10/15/2022,-12220,-6114,-1648,-10200,8932,-420,11:15:56,CHL031,0
1665813205682,"10/15/2022, 11:15:56",10/15/2022,-394,-4192,-1712,-10072,15648,2984,11:15:56,CHL031,0
1665813207812,"10/15/2022, 11:15:56",10/15/2022,-682,-5399,-1680,-9212,9708,5716,11:15:56,CHL031,0
1665813209953,"10/15/2022, 11:15:56",10/15/2022,-15954,-7470,-1664,-10148,10280,32,11:15:56,CHL031,0
1665813211896,"10/15/2022, 11:15:56",10/15/2022,-925,-2633,-1712,-11012,11168,1960,11:15:56,CHL031,0
1665813213888,"10/15/2022, 11:15:56",10/15/2022,-5045,-834,-1680,-11224,11412,3560,11:15:56,CHL031,0
1665813215971,"10/15/2022, 11:15:56",10/15/2022,8253,-785,-1664,-10744,10720,3688,11:15:56,CHL031,0
1665813218001,"10/15/2022, 11:15:56",10/15/2022,5150,-2330,-1680,-4784,5480,12028,11:15:56,CHL031,0
1665813220164,"10/15/2022, 11:15:56",10/15/2022,365,1866,-1696,-11772,9624,5476,11:15:56,CHL031,0
1665813222171,"10/15/2022, 11:15:56",10/15/2022,2526,10156,-1664,-8100,10208,1624,11:15:56,CHL031,0
1665813224240,"10/15/2022, 11:15:56",10/15/2022,3749,3826,-1664,-13660,3988,4084,11:15:56,CHL031,0
1665813226271,"10/15/2022, 11:15:56",10/15/2022,-376,-681,-1664,-14168,-228,7072,11:15:56,CHL031,0
1665813228323,"10/15/2022, 11:15:56",10/15/2022,-596,-207,-1696,-13988,156,7688,11:15:56,CHL031,0
1665813230511,"10/15/2022, 11:15:56",10/15/2022,-401,364,-1664,-14160,-492,7852,11:15:56,CHL031,0
1665813232511,"10/15/2022, 11:15:56",10/15/2022,-416,-12,-1632,-13848,-176,7964,11:15:56,CHL032,0
1665813234561,"10/15/2022, 11:15:56",10/15/2022,-471,-272,-1648,-13816,-356,7976,11:15:56,CHL032,0
1665813236620,"10/15/2022, 11:15:56",10/15/2022,-495,138,-1632,-14128,-468,7828,11:15:56,CHL032,0
1665813238662,"10/15/2022, 11:15:56",10/15/2022,-963,-773,-1664,-13732,-776,8316,11:15:56,CHL032,0
1665813240719,"10/15/2022, 11:15:56",10/15/2022,1167,4582,-1696,-14760,-4620,7816,11:15:56,CHL032,0
1665813242880,"10/15/2022, 11:15:56",10/15/2022,1464,3408,-1648,-15456,1552,1180,11:15:56,CHL032,0
1665813245030,"10/15/2022, 11:15:56",10/15/2022,10918,-108,-1648,-13548,7772,500,11:15:56,CHL032,0
1665813247100,"10/15/2022, 11:15:56",10/15/2022,-5703,8304,-1648,-10480,7620,-276,11:15:56,CHL032,0
1665813249121,"10/15/2022, 11:15:56",10/15/2022,-6963,-1424,-1600,-13252,5604,-1356,11:15:56,CHL032,0
1665813251150,"10/15/2022, 11:15:56",10/15/2022,-14250,-4303,-1616,-11316,8192,1816,11:15:56,CHL032,0
1665813253270,"10/15/2022, 11:15:56",10/15/2022,-12165,-11477,-1616,-13432,7208,-904,11:15:56,CHL032,0
1665813255258,"10/15/2022, 11:15:56",10/15/2022,5820,-16558,-1616,-11588,10636,1416,11:15:56,CHL032,0
1665813257372,"10/15/2022, 11:15:56",10/15/2022,-15054,-3447,-1632,-15216,3548,10108,11:15:56,CHL032,0
1665813259341,"10/15/2022, 11:15:56",10/15/2022,17307,-1729,-1616,-11292,10020,-2656,11:15:56,CHL032,0
1665813261511,"10/15/2022, 11:15:56",10/15/2022,-3630,957,-1600,-14756,6476,2656,11:15:56,CHL032,0
1665813263762,"10/15/2022, 11:15:56",10/15/2022,-16536,3594,-1600,-13364,7740,5428,11:15:56,CHL032,0
1665813265721,"10/15/2022, 11:15:56",10/15/2022,4760,-10773,-1616,-10108,17648,2328,11:15:56,CHL032,0
1665813267752,"10/15/2022, 11:15:56",10/15/2022,3854,-17204,-1600,-9612,11304,-1176,11:15:56,CHL032,0
1665813269790,"10/15/2022, 11:15:56",10/15/2022,8706,-13162,-1584,-9248,15212,-404,11:15:56,CHL032,0
1665813271842,"10/15/2022, 11:15:56",10/15/2022,15082,-4319,-1600,-5240,14024,-2084,11:15:56,CHL032,0
1665813273887,"10/15/2022, 11:15:56",10/15/2022,13701,2294,-1600,-4216,13288,336,11:15:56,CHL032,0
1665813276142,"10/15/2022, 11:15:56",10/15/2022,1549,-3303,-1584,-10744,12372,2068,11:15:56,CHL032,0
1665813278332,"10/15/2022, 11:15:56",10/15/2022,-27204,-9850,-1632,-11268,5820,-4216,11:15:56,CHL032,0
1665813280522,"10/15/2022, 11:15:56",10/15/2022,-417,4322,-1568,-11664,9256,3540,11:15:56,CHL032,0
1665813282551,"10/15/2022, 11:15:56",10/15/2022,-7181,-7493,-1568,-13660,7956,1500,11:15:56,CHL032,0
1665813284624,"10/15/2022, 11:15:56",10/15/2022,-10614,-2676,-1568,-7316,7668,1116,11:15:56,CHL032,0
1665813286661,"10/15/2022, 11:15:56",10/15/2022,-4153,-10973,-1568,-10428,9164,-456,11:15:56,CHL032,0
1665813288651,"10/15/2022, 11:15:56",10/15/2022,-15107,9538,-1584,-10080,8420,-2004,11:15:56,CHL032,0
1665813290670,"10/15/2022, 11:15:56",10/15/2022,16340,-4884,-1584,-11528,9740,1584,11:15:56,CHL032,0
1665813292740,"10/15/2022, 11:15:56",10/15/2022,-9076,4867,-1568,-12132,11704,6264,11:15:56,CHL032,0
1665813295001,"10/15/2022, 11:15:56",10/15/2022,-10424,11711,-1568,-10316,9228,2772,11:15:56,CHL032,0
1665813297111,"10/15/2022, 11:15:56",10/15/2022,6947,3999,-1568,-12124,9860,2956,11:15:56,CHL032,0
