acx,acy,acz,gyx,gyY,gyz,cluster
-6556,8408,3156,-608,4618,-2385,0
9048,9964,-13288,-608,188,-2867,1
6344,7796,-12664,-592,25,-1818,1
3740,3752,-10008,-624,-953,-1604,1
-2712,11272,-8092,-576,2841,-3540,1
23796,10748,-6056,-544,5050,-3579,1
-988,7652,-18896,-544,14756,9100,1
17608,7472,-11596,-544,-10260,-3006,1
16244,4116,-12180,-544,-2830,2995,1
3804,4684,-8524,-528,13483,-7126,1
2260,-3424,-10576,-528,3085,-3194,1
13496,3608,-8532,-544,-6334,-2963,1
-6592,2260,-15544,-512,-2794,1232,1
9564,4368,-7760,-528,6500,4016,1
5408,228,-9768,-512,9475,-2315,1
19444,7196,-6220,-512,-19901,-13300,1
10180,4860,-12580,-512,5461,-3964,1
11272,6676,-10028,-544,-12374,-6964,1
14784,148,-2716,-528,-21066,3611,1
11712,7952,-5304,-528,3395,-3046,1
14632,14732,-2320,-528,-19836,-7377,1
6396,6824,-15396,-528,5796,-1615,1
14180,10732,-5792,-528,1005,-6503,1
19252,5368,-12164,-528,-10802,-2886,1
15044,4648,-11528,-528,-2150,8530,1
14152,2824,-1688,-528,6431,3794,1
10720,-2268,-9424,-512,-2268,1800,1
12236,-780,-4152,-496,3221,1644,1
25380,216,-10240,-480,1921,-7400,1
0,0,0,0,0,0,1
-2636,16552,-2716,-592,-3838,829,1
14092,-7332,-12500,-2240,1687,-686,1
19716,-928,-13284,-2208,373,-3063,1
9636,-9160,-7788,-2192,-169,-2699,1
8808,-11320,-8032,-2192,5770,3635,1
20756,-5720,-17828,-2144,-7804,3254,1
13704,292,-11428,-2144,303,12,1
20444,-20,-21368,-2112,12982,-4789,1
23200,120,4816,-2128,4400,-12605,1
13564,3288,8848,-2096,-643,-2591,1
6428,15812,-1060,-2064,-2718,-2080,1
-8140,9316,-5988,-2096,4619,-1728,0
12252,5196,-9400,-2112,1319,-3529,1
13560,4128,-9728,-2064,-1264,-1776,1
15296,4004,-11276,-2064,-661,-687,1
13060,3532,-10224,-2064,-4486,-2401,1
1428,-5168,15488,-1984,190,-13,0
5308,-14984,4624,-1696,-46,-1809,1
5036,-15068,4624,-1664,-20,-1758,1
5192,-15148,4624,-1664,-63,-1798,1
4992,-15160,4704,-1680,-39,-1782,1
5088,-15044,4668,-1680,-21,-1809,1
5044,-15084,4820,-1680,-40,-1813,1
5344,-15048,4716,-1712,-24,-1738,1
-11236,-11856,3024,-2256,92,-1270,0
-10516,-11888,3108,-2272,-400,-1935,0
-10800,-12220,2836,-2272,-109,-1701,0
-10376,-13180,2076,-2208,406,-2007,0
-12660,-8932,-4416,-2208,-6811,-1598,0
-14280,2076,-7496,-2176,2942,-1435,0
-14188,2404,-7548,-2192,-723,-1769,0
-13736,2536,-6712,-2160,1152,-2103,0
-14848,2300,-6832,-2160,-333,-1811,0
-14800,5096,-5056,-2160,5835,-2349,0
-13968,3680,-8092,-2144,-385,-1419,0
-13876,3848,-7796,-2128,106,-1758,0
-15080,3012,-8080,-2144,-5095,-1489,0
3448,-13048,-9700,-2128,6774,-6400,1
-13940,4292,-10452,-2128,2039,-2798,0
-11716,3604,-11480,-2112,444,-1917,0
-11352,3624,-11984,-2128,128,-1773,0
-14380,2788,-8608,-2096,5039,-2400,0
-13672,868,-10096,-2096,6233,-2792,0
-13232,1588,-9624,-2064,-11699,320,0
-13828,3184,-9848,-2016,-11,-1815,0
-12208,4200,-8136,-2064,4467,-2874,0
-13636,3048,-9512,-2032,-941,-1940,0
-13252,3440,-9572,-2032,-8,-1841,0
-13216,3344,-9328,-2032,-24,-1793,0
-13040,3656,-9100,-2000,-1269,-1934,0
-14188,3496,-9204,-2000,286,-1745,0
-13428,3456,-9528,-1952,105,-1793,0
-13264,3396,-9416,-2000,-17,-1826,0
-13384,3180,-9568,-1936,251,-1703,0
-13760,3512,-9392,-1952,51,-1847,0
-13412,3724,-8988,-1936,172,-1704,0
-13908,3368,-9016,-1888,444,-1935,0
-13156,2952,-9704,-1904,1239,-2002,0
-13060,3576,-9380,-1888,-174,-1842,0
-13168,3392,-9704,-1856,183,-1781,0
-13308,3684,-9460,-1904,-129,-1687,0
-16028,4884,-10460,-1856,-4937,-1370,0
-15724,5512,-8496,-1840,4487,-1829,0
-13920,3120,-8516,-1808,-2359,-1708,0
-9504,-13060,1216,-1856,11041,-5566,0
-14056,1524,-10680,-1840,-4098,-1257,0
-13196,2384,-7484,-1824,2196,-1557,0
-13848,2820,-8724,-1824,-702,-1705,0
-13808,2780,-8992,-1792,-143,-1774,0
-13684,2752,-8800,-1776,-188,-1850,0
-13896,2780,-8800,-1760,161,-1788,0
-13800,2688,-8748,-1776,101,-1828,0
-13700,2764,-8936,-1776,-102,-1884,0
-13480,2732,-9156,-1760,-320,-1820,0
-13820,2716,-8980,-1760,36,-1934,0
-13992,2664,-8924,-1760,42,-1830,0
-13612,2800,-8924,-1776,-54,-1826,0
-13648,2704,-8920,-1712,-42,-1721,0
-13796,2732,-9036,-1728,-22,-1688,0
-13612,2740,-9024,-1680,-40,-1660,0
-13904,3168,-8656,-1696,-103,-1685,0
-14072,2444,-8260,-1680,-1232,-894,0
-13980,4188,-7816,-1696,640,-1498,0
-13904,4056,-8132,-1680,366,-1660,0
-13840,3912,-8312,-1664,-31,-1939,0
-13972,3852,-8264,-1632,167,-1769,0
-13392,2980,-7904,-1632,-362,-1128,0
-12732,3452,-9184,-1632,-113,-1597,0
-13532,3632,-9068,-1600,-6309,-914,0
-13904,3348,-9216,-1584,1068,-1997,0
-14068,4104,-7884,-1616,-6435,-381,0
-15252,4580,-7312,-1568,-3905,-1980,0
-13456,2852,-9220,-1584,98,-1856,0
-14464,3556,-8984,-1568,1278,-1914,0
-14128,3180,-8236,-1552,-364,-1853,0
-13624,3276,-8772,-1536,119,-1940,0
-14040,3224,-8912,-1552,25,-1920,0
-13980,3040,-8672,-1552,-134,-1847,0
-13848,2972,-8876,-1536,-191,-1826,0
-13804,2828,-8940,-1536,-9,-1741,0
-13272,2796,-9044,-1504,216,-1478,0
-14632,2536,-10360,-1520,-902,-1599,0
-13532,2804,-9300,-1488,52,-1840,0
-13136,3084,-9352,-1472,-275,-1738,0
-13452,2876,-9716,-1488,400,-1379,0
-13124,2956,-9744,-1456,-1198,-1605,0
-13064,3124,-9704,-1440,-241,-1811,0
-13176,3004,-9772,-1440,2508,-2454,0
-10504,4012,-10340,-1440,1184,-1340,0
-13896,4648,-6128,-1424,-958,-1371,0
-13252,4760,-8780,-1408,-216,-1788,0
-13256,4476,-8844,-1408,-51,-1742,0
-13180,4140,-9088,-1376,76,-1852,0
-13216,4048,-9364,-1376,1,-1910,0
-12408,-8188,-8660,-1392,6138,-4253,0
-14680,-2892,6040,-1360,-14,-1812,0
-14604,-2880,6260,-1328,-12,-1862,0
-14504,-2832,6404,-1360,1,-1841,0
-14580,-2708,6504,-1344,-9,-1800,0
-14572,-2748,6420,-1328,-20,-1840,0
-14536,-2780,6548,-1328,2,-1750,0
-14512,-2820,6492,-1312,-21,-1841,0
-14440,-2824,6488,-1312,-14,-1834,0
-14528,-2744,6564,-1344,-13,-1761,0
-14440,-2716,6572,-1296,-28,-1832,0
